word phonetic definition
a [ei] "n. the 1st letter of the Roman alphabet\nn. the blood group whose red cells carry the A antigen"
aback [ә'bæk] "r. having the wind against the forward side of the sails\nr. by surprise"
abandon [ә'bændәn] "n. the trait of lacking restraint or control; reckless freedom from inhibition or worry\nv. forsake, leave behind\nv. give up with the intent of never claiming again\nv. stop maintaining or insisting on; of ideas or claims"
abandoned [ә'bændәnd] "s. forsaken by owner or inhabitants\ns. free from constraint"
abandonment [ә'bændәmәnt] "n. the act of giving something up\nn. the voluntary surrender of property (or a right to property) without attempting to reclaim it or give it away"
abate [ә'beit] "v. become less in amount or intensity"
abatement [ә'beitmәnt] "n. the act of abating"
abdicate ['æbdikeit] "v. give up, such as power, as of monarchs and emperors, or duties and obligations"
abdomen ['æbdәmen] "n. the region of the body of a vertebrate between the thorax and the pelvis"
abdominal [æb'dɒminәl] "n. the muscles of the abdomen\na. of or relating to or near the abdomen"
abduct [æb'dʌkt] "v. pull away from the body"
abduction [æb'dʌkʃәn] "n. the criminal act of capturing and carrying away by force a family member; if a man's wife is abducted it is a crime against the family relationship and against the wife\nn. (physiology) moving of a body part away from the central axis of the body"
aberration [æbә'reiʃәn] "n. a disorder in one's mental state\nn. an optical phenomenon resulting from the failure of a lens or mirror to produce a good image"
abet [ә'bet] "v. assist or encourage, usually in some wrongdoing"
abhor [әb'hɒ:] "v. find repugnant"
abide [ә'baid] "v dwell\nv put up with something or somebody unpleasant"
abiding [ә'baidiŋ] "s. unceasing"
ability [ә'biliti] "n. the quality of being able to perform; a quality that permits or facilitates achievement or accomplishment\nn. possession of the qualities (especially mental qualities) required to do something or get something done"
abject ['æbdʒekt] "s. of the most contemptible kind\ns. most unfortunate or miserable\ns. showing utter resignation or hopelessness\ns. showing humiliation or submissiveness"
ablaze [ә'bleiz] "s. keenly excited (especially sexually) or indicating excitement\ns. lighted up by or as by fire or flame\ns. resembling flame in brilliance or color\ns. lighted with red light as if with flames"
able ['eibl] "a. (usually followed by `to') having the necessary means or skill or know-how or authority to do something\ns. have the skills and qualifications to do things well\ns. having inherent physical or mental ability or capacity\ns. having a strong healthy body"
abnormal [æb'nɒ:mәl] "a. not normal; not typical or usual or regular or conforming to a norm\na. departing from the normal in e.g. intelligence and development\ns. much greater than the normal"
abnormality [.æbnɒ:'mæliti] "n. an abnormal physical condition resulting from defective genes or developmental deficiencies\nn. retardation sufficient to fall outside the normal range of intelligence\nn. marked strangeness as a consequence of being abnormal\nn. behavior that breaches the rule or etiquette or custom or morality"
aboard [ә'bɒ:d] "r. on a ship, train, plane or other vehicle\nr. on first or second or third base\nr. side by side\nr. part of a group"
abolish [ә'bɒliʃ] "v. do away with"
abolition [.æbәu'liʃәn] "n. the act of abolishing a system or practice or institution (especially abolishing slavery)"
abolitionist [.æbәu'liʃәnist] "n. a reformer who favors abolishing slavery"
abomination [ә.bɒmi'neiʃәn] "n. a person who is loathsome or disgusting\nn. an action that is vicious or vile; an action that arouses disgust or abhorrence"
aboriginal [.æbә'ridʒәnәl] "a. of or pertaining to members of the indigenous people of Australia\ns. having existed from the beginning; in an earliest or original stage or state"
abort [ә'bɒ:t] "n. the act of terminating a project or procedure before it is completed\nv. terminate before completion\nv. cease development, die, and be aborted\nv. terminate a pregnancy by undergoing an abortion"
abortion [ә'bɒ:ʃәn] "n. termination of pregnancy"
abound [ә'baund] "v. be abundant or plentiful; exist in large quantities\nv. be in a state of movement or action"
about [ә'baut] "s. on the move\nr. all around or on all sides\nr. in the area or vicinity\nr. used of movement to or among many different places or in no particular direction"
above [ә'bʌv] "n. an earlier section of a written text\ns. appearing earlier in the same text\nr. at an earlier place\nr. in or to a place that is higher"
abrasion [ә'breiʒәn] "n. an abraded area where the skin is torn or worn off\nn. erosion by friction"
abrasive [ә'breisiv] "n. a substance that abrades or wears down\ns. causing abrasion"
abreast [ә'brest] "s. being up to particular standard or level especially in being up to date in knowledge\nr. alongside each other, facing in the same direction"
abroad [ә'brɒ:d] "s. in a foreign country\nr. to or in a foreign country"
abrupt [ә'brʌpt] "s. marked by sudden changes in subject and sharp transitions\ns. exceedingly sudden and unexpected\ns. extremely steep\ns. surprisingly and unceremoniously brusque in manner"
abruptly [ә'brʌptli] "r. quickly and without warning"
abscess ['æbsis] "n. symptom consisting of a localized collection of pus surrounded by inflamed tissue"
absence ['æbsәns] "n. the state of being absent\nn. failure to be present\nn. the time interval during which something or somebody is away\nn. the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc.; common in petit mal epilepsy"
absent ['æbsәnt] "v. go away or leave\na. not being in a specified place\ns. lost in thought; showing preoccupation"
absentee [.æbsәn'ti:] "n. one that is absent or not in residence"
absently ['æbsәntli] "r. in an absentminded or preoccupied manner"
absolute ['æbsәlu:t] "n. something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative\na. perfect or complete or pure\ns. complete and without restriction or qualification; sometimes used informally as intensifiers\ns. not limited by law"
absolutely ['æbsәlu:tli] "r. completely and without qualification; used informally as intensifiers\nr. totally and definitely; without question"
absolve [әb'zɒlv] "v. let off the hook"
absorb [әb'sɒ:b] "v. become imbued\nv. take up mentally\nv. take up, as of debts or payments\nv. take in, also metaphorically"
absorbing [әb'sɒ:biŋ] "s. capable of arousing and holding the attention"
absorption [әb'sɒ:pʃәn] "n. (chemistry) a process in which one substance permeates another; a fluid permeates or is dissolved by a liquid or solid\nn. (physics) the process in which incident radiated energy is retained without reflection or transmission on passing through a medium"
abstain [әb'stein] "v. refrain from voting\nv. choose not to consume"
abstinence ['æbstinәns] "n. the trait of abstaining (especially from alcohol)\nn. act or practice of refraining from indulging an appetite"
abstract ['æbstrækt] "v. consider a concept without thinking of a specific example; consider abstractly or theoretically\nv. consider apart from a particular case or instance\nv. give an abstract (of)\na. existing only in the mind; separated from embodiment"
abstraction [æb'strækʃәn] "n. a concept or idea not associated with any specific instance\nn. the act of withdrawing or removing something\nn. the process of formulating general concepts by abstracting common properties of instances\nn. an abstract painting"
absurd [әb'sә:d] "n. a situation in which life seems irrational and meaningless\ns. inconsistent with reason or logic or common sense\ns. incongruous; inviting ridicule"
