word phonetic
a [ei]
aback [ә'bæk]
abandon [ә'bændәn]
abandoned [ә'bændәnd]
abandonment [ә'bændәmәnt]
abate [ә'beit]
abatement [ә'beitmәnt]
abdicate ['æbdikeit]
abdomen ['æbdәmen]
abdominal [æb'dɒminәl]
abduct [æb'dʌkt]
abduction [æb'dʌkʃәn]
aberration [æbә'reiʃәn]
abet [ә'bet]
abhor [әb'hɒ:]
abide [ә'baid]
abiding [ә'baidiŋ]
ability [ә'biliti]
abject ['æbdʒekt]
ablaze [ә'bleiz]
able ['eibl]
abnormal [æb'nɒ:mәl]
abnormality [.æbnɒ:'mæliti]
aboard [ә'bɒ:d]
abolish [ә'bɒliʃ]
abolition [.æbәu'liʃәn]
abolitionist [.æbәu'liʃәnist]
abomination [ә.bɒmi'neiʃәn]
aboriginal [.æbә'ridʒәnәl]
abort [ә'bɒ:t]
abortion [ә'bɒ:ʃәn]
abound [ә'baund]
about [ә'baut]
above [ә'bʌv]
abrasion [ә'breiʒәn]
abrasive [ә'breisiv]
abreast [ә'brest]
abroad [ә'brɒ:d]
abrupt [ә'brʌpt]
abruptly [ә'brʌptli]
abscess ['æbsis]
absence ['æbsәns]
absent ['æbsәnt]
absentee [.æbsәn'ti:]
absently ['æbsәntli]
absolute ['æbsәlu:t]
absolutely ['æbsәlu:tli]
absolve [әb'zɒlv]
absorb [әb'sɒ:b]
absorbing [әb'sɒ:biŋ]
absorption [әb'sɒ:pʃәn]
abstain [әb'stein]
abstinence ['æbstinәns]
abstract ['æbstrækt]
abstraction [æb'strækʃәn]
absurd [әb'sә:d]
absurdity [әb'sә:diti]
absurdly [әb'sә:dli]
abundance [ә'bʌndәns]
abundant [ә'bʌndәnt]
abundantly [ә'bʌndәntli]
abuse [ә'bju:s.ә'bju:z]
abusive [ә'bju:siv]
abut [ә'bʌt]
abysmal [ә'bizmәl]
abyss [ә'bis]
academia [.ækә'di:miә]
academic [.ækә'demik]
academically [.ækә'demikәli]
academy [ә'kædәmi]
accede [æk'si:d]
accelerate [әk'selәreit]
accelerated [әk'selәreitid]
accelerating [æk'selәreitiŋ]
acceleration [әk.selә'reiʃәn]
accelerator [әk'selәreitә]
accent ['æksәnt]
accentuate [æk'sentjueit]
accept [әk'sept]
acceptability [әk.septә'biliti]
acceptable [әk'septәbl]
acceptance [әk'septәns]
accepted [әk'septid]
access ['ækses]
accessibility [әk.sesә'biliti]
accessible [әk'sesәbl]
accession [æk'seʃәn]
accessory [әk'sesәri]
accident ['æksidәnt]
accidental [.æksi'dentl]
accidentally [.æksi'dentli]
acclaim [ә'kleim]
acclaimed [ə'kleɪmd]
accolade [.ækәu'leid]
accommodate [ә'kɒmәdeit]
accommodation [ә.kɒmә'deiʃәn]
accompaniment [ә'kʌmpәnimәnt]
accompany [ә'kʌmpәni]
accomplice [ә'kʌmplis]
accomplish [ә'kʌmpliʃ]
accomplished [ә'kʌmpliʃt]
accomplishment [ә'kʌmpliʃmәnt]
accord [ә'kɒ:d]
accordance [ә'kɒ:dәns]
according [ә'kɒ:diŋ]
accordingly [ә'kɒ:diŋli]
accordion [ә'kɒ:djәn]
accost [ә'kɒst]
account [ә'kaunt]
